,energy,data,data_err
422,0.04211,6.0981,0.030106
423,0.041905,6.1435,0.030471
424,0.041769,6.0829,0.052707
425,0.041702,6.1583,0.053097
426,0.041634,6.1159,0.052936
427,0.041567,6.1607,0.053297
428,0.0415,6.1794,0.053502
429,0.041433,6.1881,0.053504
430,0.041366,6.1345,0.053534
431,0.0413,6.1052,0.052901
432,0.041233,6.197,0.053882
433,0.041167,6.117,0.053439
434,0.041101,5.9943,0.052169
435,0.041035,5.9533,0.051884
436,0.040969,5.954,0.051909
437,0.040903,5.9233,0.05182
438,0.040838,5.8844,0.051558
439,0.040773,5.9201,0.051773
440,0.040707,5.8761,0.05174
441,0.040642,5.7744,0.050692
442,0.040578,5.8183,0.051278
443,0.040513,5.8301,0.05143
444,0.040448,5.9449,0.052643
445,0.040384,5.8924,0.051994
446,0.04032,5.8307,0.051652
447,0.040256,5.8796,0.052032
448,0.040192,5.9085,0.052398
449,0.040128,5.9228,0.052419
450,0.040064,5.7535,0.051294
451,0.039969,5.8876,0.036953
452,0.039843,5.9206,0.037241
453,0.039717,5.9209,0.037413
454,0.039592,5.9282,0.037475
455,0.039467,5.9003,0.037396
456,0.039343,5.9772,0.037874
457,0.03922,5.9523,0.037809
458,0.039097,5.9707,0.038061
459,0.038975,6.0399,0.038461
460,0.038853,5.9278,0.037935
461,0.038732,6.0227,0.038629
462,0.038656,6.0508,0.077289
463,0.038626,6.0104,0.076955
464,0.038596,6.0607,0.077899
465,0.038566,6.1265,0.078921
466,0.038536,6.064,0.077837
467,0.038506,6.0267,0.077434
468,0.038476,6.018,0.077362
469,0.038446,6.1208,0.078899
470,0.038417,6.017,0.077959
471,0.038387,6.008,0.077658
472,0.038357,6.1002,0.078808
473,0.038327,5.9932,0.078137
474,0.038297,6.1436,0.079289
475,0.038268,6.088,0.078559
476,0.038238,6.055,0.078399
477,0.038209,6.0659,0.078707
478,0.038179,5.9662,0.077802
479,0.038149,6.1089,0.078856
480,0.03812,5.8366,0.076439
481,0.03809,5.9517,0.077399
482,0.038061,5.9925,0.077765
483,0.038032,5.9061,0.076609
484,0.038002,5.8411,0.075251
485,0.037973,5.8391,0.075434
486,0.037944,5.7429,0.074585
487,0.037914,5.6893,0.074171
488,0.037885,5.8193,0.075002
489,0.037856,5.6531,0.074103
490,0.037827,5.6756,0.074191
491,0.037797,5.7191,0.074521
492,0.037768,5.7733,0.075094
493,0.037739,5.6517,0.07435
494,0.03771,5.6511,0.073506
495,0.037681,5.7874,0.07515
