 ,stack,counts,err
1312,1312,9322.000,96.551
1313,1313,9298.000,96.426
1314,1314,9373.000,96.814
1315,1315,9381.000,96.856
1316,1316,8735.000,93.461
1317,1317,9264.000,96.250
1318,1318,9138.000,95.593
1319,1319,9319.000,96.535
1320,1320,9140.000,95.603
1321,1321,9218.000,96.010
1322,1322,8664.000,93.081
1323,1323,9196.000,95.896
1324,1324,8993.000,94.831
1325,1325,8938.000,94.541
1326,1326,8843.000,94.037
1327,1327,8564.000,92.542
1328,1328,8816.000,93.894
1329,1329,8752.000,93.552
1330,1330,8779.000,93.696
1331,1331,8487.000,92.125
1332,1332,8588.000,92.671
1333,1333,8590.000,92.682
1334,1334,8135.000,90.194
1335,1335,8508.000,92.239
1336,1336,8532.000,92.369
1337,1337,8440.000,91.869
1338,1338,8303.000,91.121
1339,1339,8712.000,93.338
1340,1340,8437.000,91.853
1341,1341,8367.000,91.471
1342,1342,8556.000,92.499
1343,1343,8226.000,90.697
1344,1344,8504.000,92.217
1345,1345,8268.000,90.929
1346,1346,8155.000,90.305
1347,1347,8290.000,91.049
1348,1348,8265.000,90.912
1349,1349,8316.000,91.192
1350,1350,8067.000,89.816
1351,1351,7982.000,89.342
1352,1352,8067.000,89.816
1353,1353,8177.000,90.427
1354,1354,8030.000,89.610
1355,1355,7905.000,88.910
1356,1356,8070.000,89.833
1357,1357,7738.000,87.966
1358,1358,7824.000,88.453
1359,1359,7857.000,88.640
1360,1360,7802.000,88.329
1361,1361,7684.000,87.658
1362,1362,8046.000,89.699
1363,1363,7877.000,88.752
1364,1364,7625.000,87.321
1365,1365,7662.000,87.533
1366,1366,7720.000,87.864
1367,1367,7786.000,88.238
1368,1368,7757.000,88.074
1369,1369,7636.000,87.384
1370,1370,7561.000,86.954
1371,1371,7544.000,86.856
1372,1372,7482.000,86.499
1373,1373,7572.000,87.017
1374,1374,7727.000,87.903
1375,1375,7514.000,86.683
1376,1376,7505.000,86.631
1377,1377,7433.000,86.215
1378,1378,7371.000,85.855
1379,1379,7470.000,86.429
1380,1380,7302.000,85.452
1381,1381,7389.000,85.959
1382,1382,7261.000,85.212
1383,1383,7215.000,84.941
1384,1384,7369.000,85.843
1385,1385,7337.000,85.656
1386,1386,7222.000,84.982
1387,1387,7370.000,85.849
1388,1388,7253.000,85.165
1389,1389,6997.000,83.648
1390,1390,6832.000,82.656
1391,1391,7155.000,84.587
1392,1392,7061.000,84.030
1393,1393,6984.000,83.570
1394,1394,7090.000,84.202
1395,1395,7096.000,84.238
1396,1396,6808.000,82.511
1397,1397,6917.000,83.169
1398,1398,7015.000,83.756
1399,1399,6697.000,81.835
1400,1400,6635.000,81.456
1401,1401,6852.000,82.777
1402,1402,6902.000,83.078
1403,1403,6819.000,82.577
1404,1404,6951.000,83.373
1405,1405,6862.000,82.837
1406,1406,6943.000,83.325
1407,1407,7011.000,83.732
1408,1408,6797.000,82.444
1409,1409,6515.000,80.716
1410,1410,6653.000,81.566
1411,1411,6643.000,81.505
1412,1412,6469.000,80.430
1413,1413,6567.000,81.037
1414,1414,6589.000,81.173
1415,1415,6473.000,80.455
1416,1416,6472.000,80.449
1417,1417,6428.000,80.175
1418,1418,6470.000,80.436
1419,1419,6337.000,79.605
1420,1420,6407.000,80.044
1421,1421,6300.000,79.373
1422,1422,6347.000,79.668
1423,1423,6392.000,79.950
1424,1424,6361.000,79.756
1425,1425,6484.000,80.523
1426,1426,6403.000,80.019
1427,1427,6542.000,80.883
1428,1428,6270.000,79.183
1429,1429,6098.000,78.090
1430,1430,6309.000,79.429
1431,1431,6291.000,79.316
1432,1432,6194.000,78.702
1433,1433,6184.000,78.638
1434,1434,6573.000,81.074
1435,1435,6242.000,79.006
1436,1436,5909.000,76.870
1437,1437,6029.000,77.647
1438,1438,6039.000,77.711
1439,1439,6088.000,78.026
1440,1440,5832.000,76.368
1441,1441,5992.000,77.408
1442,1442,5940.000,77.071
1443,1443,5957.000,77.182
1444,1444,6076.000,77.949
1445,1445,5912.000,76.890
1446,1446,6014.000,77.550
1447,1447,5806.000,76.197
1448,1448,5830.000,76.354
1449,1449,5720.000,75.631
1450,1450,5938.000,77.058
1451,1451,5745.000,75.796
1452,1452,5584.000,74.726
1453,1453,5664.000,75.260
1454,1454,5770.000,75.961
1455,1455,5715.000,75.598
1456,1456,5729.000,75.690
1457,1457,5712.000,75.578
1458,1458,5717.000,75.611
1459,1459,5561.000,74.572
1460,1460,5448.000,73.811
1461,1461,5680.000,75.366
1462,1462,5717.000,75.611
1463,1463,5694.000,75.459
1464,1464,5633.000,75.053
1465,1465,5448.000,73.811
1466,1466,5527.000,74.344
1467,1467,5550.000,74.498
1468,1468,5247.000,72.436
1469,1469,5453.000,73.844
1470,1470,5355.000,73.178
1471,1471,5500.000,74.162
1472,1472,5405.000,73.519
1473,1473,5300.000,72.801
1474,1474,5305.000,72.835
1475,1475,5172.000,71.917
1476,1476,5355.000,73.178
1477,1477,5290.000,72.732
1478,1478,5140.000,71.694
1479,1479,5606.000,74.873
1480,1480,5361.000,73.219
1481,1481,5242.000,72.402
1482,1482,5317.000,72.918
1483,1483,5375.000,73.314
1484,1484,5087.000,71.323
1485,1485,5145.000,71.729
1486,1486,5169.000,71.896
1487,1487,5029.000,70.915
1488,1488,5327.000,72.986
1489,1489,4845.000,69.606
1490,1490,4832.000,69.513
1491,1491,5255.000,72.491
1492,1492,4979.000,70.562
1493,1493,4887.000,69.907
1494,1494,5100.000,71.414
1495,1495,5051.000,71.070
1496,1496,5203.000,72.132
1497,1497,4962.000,70.441
1498,1498,4821.000,69.433
1499,1499,4851.000,69.649
1500,1500,4860.000,69.714
1501,1501,5027.000,70.901
1502,1502,4923.000,70.164
1503,1503,4894.000,69.957
1504,1504,4855.000,69.678
1505,1505,4741.000,68.855
1506,1506,4767.000,69.043
1507,1507,4789.000,69.203
1508,1508,4947.000,70.335
1509,1509,4660.000,68.264
1510,1510,4732.000,68.790
1511,1511,4870.000,69.785
1512,1512,4831.000,69.505
1513,1513,4607.000,67.875
1514,1514,4629.000,68.037
1515,1515,4590.000,67.750
1516,1516,4537.000,67.357
1517,1517,4827.000,69.477
1518,1518,4615.000,67.934
1519,1519,4666.000,68.308
1520,1520,4579.000,67.668
1521,1521,4499.000,67.075
1522,1522,4554.000,67.483
1523,1523,4494.000,67.037
1524,1524,4480.000,66.933
1525,1525,4741.000,68.855
1526,1526,4402.000,66.348
1527,1527,4321.000,65.734
1528,1528,4480.000,66.933
1529,1529,4378.000,66.166
1530,1530,4366.000,66.076
1531,1531,4550.000,67.454
1532,1532,4412.000,66.423
1533,1533,4340.000,65.879
1534,1534,4270.000,65.345
1535,1535,4407.000,66.385
1536,1536,4323.000,65.750
1537,1537,4243.000,65.138
1538,1538,4414.000,66.438
1539,1539,4236.000,65.085
1540,1540,4328.000,65.788
1541,1541,4362.000,66.045
1542,1542,4269.000,65.338
1543,1543,4289.000,65.490
1544,1544,4450.000,66.708
1545,1545,4250.000,65.192
1546,1546,4092.000,63.969
1547,1547,4252.000,65.207
1548,1548,4256.000,65.238
1549,1549,4262.000,65.284
1550,1550,4006.000,63.293
1551,1551,4235.000,65.077
1552,1552,4231.000,65.046
1553,1553,4119.000,64.179
1554,1554,4107.000,64.086
1555,1555,4132.000,64.281
1556,1556,4103.000,64.055
1557,1557,4285.000,65.460
1558,1558,4161.000,64.506
1559,1559,4021.000,63.411
1560,1560,3950.000,62.849
1561,1561,4001.000,63.253
1562,1562,3990.000,63.166
1563,1563,3950.000,62.849
1564,1564,3938.000,62.753
1565,1565,4086.000,63.922
1566,1566,4163.000,64.521
1567,1567,4092.000,63.969
1568,1568,4022.000,63.419
1569,1569,3866.000,62.177
1570,1570,4279.000,65.414
1571,1571,4131.000,64.273
1572,1572,3995.000,63.206
1573,1573,3770.000,61.400
1574,1574,3735.000,61.115
1575,1575,4028.000,63.467
1576,1576,3697.000,60.803
1577,1577,3952.000,62.865
1578,1578,3962.000,62.944
1579,1579,3823.000,61.830
1580,1580,4017.000,63.380
1581,1581,3611.000,60.092
1582,1582,4019.000,63.396
1583,1583,3847.000,62.024
1584,1584,3993.000,63.190
1585,1585,3642.000,60.349
1586,1586,3696.000,60.795
1587,1587,3711.000,60.918
1588,1588,3724.000,61.025
1589,1589,3704.000,60.860
1590,1590,3740.000,61.156
1591,1591,3705.000,60.869
1592,1592,3707.000,60.885
1593,1593,3629.000,60.241
1594,1594,3650.000,60.415
1595,1595,3726.000,61.041
1596,1596,3789.000,61.555
1597,1597,3691.000,60.754
1598,1598,3711.000,60.918
1599,1599,3483.000,59.017
1600,1600,3572.000,59.766
1601,1601,3737.000,61.131
1602,1602,3685.000,60.704
1603,1603,3510.000,59.245
1604,1604,3646.000,60.382
1605,1605,3645.000,60.374
1606,1606,3740.000,61.156
1607,1607,3623.000,60.191
1608,1608,3669.000,60.572
1609,1609,3538.000,59.481
1610,1610,3629.000,60.241
1611,1611,3659.000,60.490
1612,1612,3562.000,59.682
1613,1613,3457.000,58.796
1614,1614,3278.000,57.254
1615,1615,3514.000,59.279
1616,1616,3529.000,59.405
1617,1617,3281.000,57.280
1618,1618,3449.000,58.728
1619,1619,3330.000,57.706
1620,1620,3278.000,57.254
1621,1621,3344.000,57.827
1622,1622,3426.000,58.532
1623,1623,3457.000,58.796
1624,1624,3428.000,58.549
1625,1625,3292.000,57.376
1626,1626,3242.000,56.939
1627,1627,3373.000,58.078
1628,1628,3134.000,55.982
1629,1629,3386.000,58.189
1630,1630,3267.000,57.158
1631,1631,3392.000,58.241
1632,1632,3258.000,57.079
1633,1633,3365.000,58.009
1634,1634,3250.000,57.009
1635,1635,3278.000,57.254
1636,1636,3336.000,57.758
1637,1637,3406.000,58.361
1638,1638,3115.000,55.812
1639,1639,3073.000,55.435
1640,1640,3123.000,55.884
1641,1641,3269.000,57.175
1642,1642,3430.000,58.566
1643,1643,3005.000,54.818
1644,1644,3234.000,56.868
1645,1645,3120.000,55.857
1646,1646,3026.000,55.009
1647,1647,3128.000,55.929
1648,1648,3249.000,57.000
1649,1649,3134.000,55.982
1650,1650,3136.000,56.000
1651,1651,3192.000,56.498
1652,1652,3110.000,55.767
1653,1653,3074.000,55.444
1654,1654,3095.000,55.633
1655,1655,3149.000,56.116
1656,1656,3004.000,54.809
1657,1657,3126.000,55.911
1658,1658,3022.000,54.973
1659,1659,2971.000,54.507
1660,1660,3082.000,55.516
1661,1661,2877.000,53.638
1662,1662,2953.000,54.342
1663,1663,2939.000,54.213
1664,1664,3050.000,55.227
1665,1665,3063.000,55.344
1666,1666,3144.000,56.071
1667,1667,2921.000,54.046
1668,1668,2931.000,54.139
1669,1669,2953.000,54.342
1670,1670,2941.000,54.231
