 ,stack,counts,err
1510,1510,251.000,15.843
1511,1511,238.000,15.427
1512,1512,239.000,15.460
1513,1513,277.000,16.643
1514,1514,259.000,16.093
1515,1515,235.000,15.330
1516,1516,266.000,16.310
1517,1517,229.000,15.133
1518,1518,217.000,14.731
1519,1519,228.000,15.100
1520,1520,234.000,15.297
1521,1521,192.000,13.856
1522,1522,194.000,13.928
1523,1523,244.000,15.620
1524,1524,211.000,14.526
1525,1525,240.000,15.492
1526,1526,242.000,15.556
1527,1527,250.000,15.811
1528,1528,191.000,13.820
1529,1529,225.000,15.000
1530,1530,263.000,16.217
1531,1531,223.000,14.933
1532,1532,220.000,14.832
1533,1533,231.000,15.199
1534,1534,224.000,14.967
1535,1535,230.000,15.166
1536,1536,200.000,14.142
1537,1537,242.000,15.556
1538,1538,233.000,15.264
1539,1539,276.000,16.613
1540,1540,189.000,13.748
1541,1541,232.000,15.232
1542,1542,185.000,13.601
1543,1543,215.000,14.663
1544,1544,236.000,15.362
1545,1545,179.000,13.379
1546,1546,218.000,14.765
1547,1547,180.000,13.416
1548,1548,209.000,14.457
1549,1549,204.000,14.283
1550,1550,169.000,13.000
1551,1551,222.000,14.900
1552,1552,186.000,13.638
1553,1553,228.000,15.100
1554,1554,173.000,13.153
1555,1555,213.000,14.595
1556,1556,220.000,14.832
1557,1557,251.000,15.843
1558,1558,180.000,13.416
1559,1559,204.000,14.283
1560,1560,190.000,13.784
1561,1561,200.000,14.142
1562,1562,151.000,12.288
1563,1563,152.000,12.329
1564,1564,217.000,14.731
1565,1565,223.000,14.933
1566,1566,179.000,13.379
1567,1567,181.000,13.454
1568,1568,175.000,13.229
1569,1569,166.000,12.884
1570,1570,188.000,13.711
1571,1571,189.000,13.748
1572,1572,221.000,14.866
1573,1573,191.000,13.820
1574,1574,165.000,12.845
1575,1575,188.000,13.711
1576,1576,209.000,14.457
1577,1577,171.000,13.077
1578,1578,147.000,12.124
1579,1579,210.000,14.491
1580,1580,213.000,14.595
1581,1581,169.000,13.000
1582,1582,188.000,13.711
