 ,stack,counts,err
457,457,39094.000,197.722
458,458,38846.000,197.094
459,459,38462.000,196.117
460,460,37537.000,193.745
461,461,37713.000,194.198
462,462,38026.000,195.003
463,463,37220.000,192.925
464,464,37712.000,194.196
465,465,37553.000,193.786
466,466,37331.000,193.212
467,467,37466.000,193.561
468,468,36360.000,190.683
469,469,36001.000,189.739
470,470,35994.000,189.721
471,471,36309.000,190.549
472,472,36238.000,190.363
473,473,36402.000,190.793
474,474,36255.000,190.407
475,475,36451.000,190.921
476,476,35442.000,188.260
477,477,35512.000,188.446
478,478,35502.000,188.420
479,479,35085.000,187.310
480,480,34704.000,186.290
481,481,34712.000,186.312
482,482,34121.000,184.719
483,483,34203.000,184.941
484,484,34047.000,184.518
485,485,33297.000,182.475
486,486,32944.000,181.505
487,487,32396.000,179.989
488,488,31815.000,178.368
489,489,32026.000,178.958
490,490,31061.000,176.241
491,491,31398.000,177.195
492,492,31736.000,178.146
493,493,32639.000,180.663
494,494,34587.000,185.976
495,495,35403.000,188.157
496,496,36180.000,190.210
497,497,35888.000,189.441
498,498,36031.000,189.818
499,499,36132.000,190.084
500,500,35414.000,188.186
501,501,35233.000,187.705
502,502,34599.000,186.008
503,503,34664.000,186.183
504,504,34464.000,185.645
505,505,34219.000,184.984
506,506,34456.000,185.623
507,507,33739.000,183.682
508,508,33221.000,182.266
509,509,32451.000,180.142
510,510,33083.000,181.887
511,511,32468.000,180.189
512,512,32126.000,179.237
513,513,31696.000,178.034
514,514,31066.000,176.255
515,515,31037.000,176.173
516,516,30852.000,175.647
517,517,30312.000,174.103
518,518,30361.000,174.244
519,519,30018.000,173.257
520,520,30044.000,173.332
521,521,29874.000,172.841
522,522,29448.000,171.604
523,523,28972.000,170.212
524,524,28839.000,169.820
525,525,27698.000,166.427
526,526,27670.000,166.343
527,527,27787.000,166.694
528,528,27583.000,166.081
529,529,26946.000,164.152
530,530,26661.000,163.282
531,531,26112.000,161.592
532,532,25693.000,160.290
533,533,25566.000,159.894
534,534,25870.000,160.842
535,535,25480.000,159.625
536,536,25426.000,159.455
537,537,25241.000,158.874
538,538,25508.000,159.712
539,539,25414.000,159.418
540,540,24545.000,156.668
541,541,24468.000,156.423
542,542,24735.000,157.274
543,543,24033.000,155.026
544,544,24238.000,155.686
545,545,23841.000,154.405
546,546,22999.000,151.654
547,547,23272.000,152.552
548,548,22802.000,151.003
549,549,22865.000,151.212
550,550,22534.000,150.113
551,551,21953.000,148.165
552,552,21420.000,146.356
553,553,21066.000,145.141
554,554,21353.000,146.127
555,555,21058.000,145.114
556,556,20597.000,143.517
557,557,20210.000,142.162
558,558,20276.000,142.394
559,559,19677.000,140.275
560,560,19970.000,141.315
